Symbol,EQ,Near Future,Next Future,Far Future
360ONE,1188.5,1188.9,1196.2,1193.2
ABB,5189.0,5181.5,5189.0,5208.5
ABCAPITAL,308.2,308.45,310.3,311.75
ADANIENSOL,948.2,946.55,952.85,957.3
ADANIENT,2506.0,2503.6,2517.9,2530.8
ADANIGREEN,1021.5,1021.0,1027.4,1035.4
ADANIPORTS,1420.0,1422.9,1430.0,1439.6
ALKEM,5556.0,5546.0,5582.0,5596.5
AMBER,8409.0,8424.0,8148.0,7940.0
AMBUJACEM,556.1,556.35,559.6,563.8
ANGELONE,2543.6,2545.9,2555.9,2552.0
APLAPOLLO,1765.8,1767.4,1776.0,1775.4
APOLLOHOSP,7871.0,7880.5,7926.0,7959.0
ASHOKLEY,138.73,139.01,136.12,134.85
ASIANPAINT,2510.6,2513.4,2522.4,2536.4
ASTRAL,1431.2,1431.6,1434.7,1442.0
AUBANK,857.0,856.5,862.15,863.85
AUROPHARMA,1097.7,1098.9,1104.5,1108.3
AXISBANK,1245.9,1246.8,1254.4,1260.0
BAJAJ-AUTO,9082.0,9084.5,9094.5,9115.0
BAJAJFINSV,2153.8,2154.1,2168.3,2178.8
BAJFINANCE,1081.5,1082.15,1088.8,1095.0
BANDHANBNK,171.89,172.07,172.85,174.03
BANKBARODA,269.35,269.25,270.7,272.25
BANKINDIA,136.79,136.51,137.28,138.46
BDL,1538.0,1536.5,1544.3,1554.0
BEL,418.05,417.4,419.8,423.0
BHARATFORG,1296.6,1296.2,1287.7,1285.0
BHARTIARTL,2053.7,2051.7,2064.6,2075.5
BHEL,235.85,236.18,237.43,238.63
BIOCON,362.7,362.5,364.65,367.2
BLUESTARCO,2011.1,2011.8,2013.0,2005.0
BOSCHLTD,38475.0,38420.0,38640.0,38900.0
BPCL,337.5,337.25,338.25,337.7
BRITANNIA,5994.5,6002.0,6035.0,6077.0
BSE,2504.1,2507.3,2521.8,2532.9
CAMS,3923.9,3928.2,3934.6,3955.9
CANBK,127.55,127.5,128.25,129.12
CDSL,1607.9,1611.0,1615.0,1622.3
CGPOWER,725.4,724.1,727.65,732.8
CHOLAFIN,1738.9,1736.0,1703.5,1684.5
CIPLA,1577.3,1577.5,1586.8,1597.0
