date,symbol,expiry,inst_type,close,settle,prev_close,underlying,open_interest,volume,contract
2025-07-01,360ONE,2025-07-31,STF,1182.5,1182.5,1201.6,1175.5,890500,1239,360ONE25JULFUT
2025-07-02,360ONE,2025-07-31,STF,1184.0,1184.0,1182.5,1177.2,990500,594,360ONE25JULFUT
2025-07-03,360ONE,2025-07-31,STF,1233.7,1233.7,1184.0,1226.6,1265500,1713,360ONE25JULFUT
2025-07-04,360ONE,2025-07-31,STF,1247.8,1247.8,1233.7,1245.4,1266000,1960,360ONE25JULFUT
2025-07-07,360ONE,2025-07-31,STF,1253.2,1253.2,1247.8,1252.9,1154000,1481,360ONE25JULFUT
2025-07-08,360ONE,2025-07-31,STF,1227.7,1227.7,1253.2,1220.4,1286500,3433,360ONE25JULFUT
2025-07-09,360ONE,2025-07-31,STF,1201.0,1201.0,1227.7,1194.6,1397500,1274,360ONE25JULFUT
2025-07-10,360ONE,2025-07-31,STF,1200.0,1200.0,1201.0,1194.4,1638500,1131,360ONE25JULFUT
2025-07-11,360ONE,2025-07-31,STF,1198.2,1198.2,1200.0,1194.0,1662000,897,360ONE25JULFUT
2025-07-14,360ONE,2025-07-31,STF,1193.4,1193.4,1198.2,1188.2,1702000,746,360ONE25JULFUT
2025-07-15,360ONE,2025-07-31,STF,1201.8,1201.8,1193.4,1197.3,1711000,879,360ONE25JULFUT
2025-07-16,360ONE,2025-07-31,STF,1202.2,1202.2,1201.8,1197.7,1842500,1232,360ONE25JULFUT
2025-07-17,360ONE,2025-07-31,STF,1210.0,1210.0,1202.2,1205.6,1925000,1272,360ONE25JULFUT
2025-07-18,360ONE,2025-07-31,STF,1204.0,1204.0,1210.0,1202.2,1791500,2896,360ONE25JULFUT
2025-07-21,360ONE,2025-07-31,STF,1223.4,1223.4,1204.0,1221.2,1770000,1094,360ONE25JULFUT
2025-07-22,360ONE,2025-07-31,STF,1143.2,1143.2,1223.4,1144.0,3366500,12180,360ONE25JULFUT
2025-07-23,360ONE,2025-07-31,STF,1128.6,1128.6,1143.2,1125.0,3635000,3188,360ONE25JULFUT
2025-07-24,360ONE,2025-07-31,STF,1122.7,1122.7,1128.6,1118.6,3924000,3658,360ONE25JULFUT
2025-07-25,360ONE,2025-07-31,STF,1080.4,1080.4,1122.7,1077.9,4046000,1862,360ONE25JULFUT
2025-07-28,360ONE,2025-07-31,STF,1075.3,1075.3,1080.4,1074.6,3187000,3882,360ONE25JULFUT
2025-07-29,360ONE,2025-07-31,STF,1084.2,1084.2,1075.3,1082.4,2612000,3110,360ONE25JULFUT
2025-07-30,360ONE,2025-07-31,STF,1060.2,1060.2,1084.2,1060.2,2146000,1771,360ONE25JULFUT
2025-07-31,360ONE,2025-07-31,STF,1051.0,1052.7,1060.2,1052.7,1809000,3750,360ONE25JULFUT
2025-07-01,360ONE,2025-08-28,STF,1187.4,1187.4,1202.8,1175.5,10000,12,360ONE25AUGFUT
2025-07-02,360ONE,2025-08-28,STF,1187.7,1187.7,1187.4,1177.2,10500,7,360ONE25AUGFUT
2025-07-03,360ONE,2025-08-28,STF,1235.0,1235.0,1187.7,1226.6,9500,25,360ONE25AUGFUT
2025-07-04,360ONE,2025-08-28,STF,1245.0,1245.0,1235.0,1245.4,9500,17,360ONE25AUGFUT
2025-07-07,360ONE,2025-08-28,STF,1253.2,1253.2,1245.0,1252.9,14000,24,360ONE25AUGFUT
2025-07-08,360ONE,2025-08-28,STF,1227.8,1227.8,1253.2,1220.4,21000,28,360ONE25AUGFUT
2025-07-09,360ONE,2025-08-28,STF,1198.6,1198.6,1227.8,1194.6,22000,22,360ONE25AUGFUT
2025-07-10,360ONE,2025-08-28,STF,1200.0,1200.0,1198.6,1194.4,24000,15,360ONE25AUGFUT
2025-07-11,360ONE,2025-08-28,STF,1198.6,1198.6,1200.0,1194.0,23000,7,360ONE25AUGFUT
2025-07-14,360ONE,2025-08-28,STF,1194.2,1194.2,1198.6,1188.2,25000,22,360ONE25AUGFUT
2025-07-15,360ONE,2025-08-28,STF,1205.0,1205.0,1194.2,1197.3,31500,53,360ONE25AUGFUT
2025-07-16,360ONE,2025-08-28,STF,1206.7,1206.7,1205.0,1197.7,38500,53,360ONE25AUGFUT
