weekly,segment,name,exchange,expiry,instrument_type,asset_symbol,underlying_symbol,instrument_key,lot_size,freeze_quantity,exchange_token,minimum_lot,asset_key,underlying_key,tick_size,asset_type,underlying_type,trading_symbol,strike_price,qty_multiplier,isin,mtf_enabled,mtf_bracket,security_type,short_name
False,BSE_FO,SENSEX,BSE,1787855399000.0,PE,SENSEX,SENSEX,BSE_FO|835999,20,1000.0,835999,20.0,BSE_INDEX|SENSEX,BSE_INDEX|SENSEX,5.0,INDEX,INDEX,SENSEX 67200 PE 27 AUG 26,67200.0,,,,,,
False,NSE_FO,MIDCPNIFTY,NSE,1793125799000.0,PE,MIDCPNIFTY,MIDCPNIFTY,NSE_FO|50917,120,2760.0,50917,120.0,NSE_INDEX|NIFTY MID SELECT,NSE_INDEX|NIFTY MID SELECT,5.0,INDEX,INDEX,MIDCPNIFTY 15225 PE 27 OCT 26,15225.0,1.0,,,,,
False,NSE_FO,MIDCPNIFTY,NSE,1793125799000.0,CE,MIDCPNIFTY,MIDCPNIFTY,NSE_FO|50918,120,2760.0,50918,120.0,NSE_INDEX|NIFTY MID SELECT,NSE_INDEX|NIFTY MID SELECT,5.0,INDEX,INDEX,MIDCPNIFTY 15250 CE 27 OCT 26,15250.0,1.0,,,,,
False,BSE_FO,SENSEX,BSE,1785436199000.0,CE,SENSEX,SENSEX,BSE_FO|835965,20,1000.0,835965,20.0,BSE_INDEX|SENSEX,BSE_INDEX|SENSEX,5.0,INDEX,INDEX,SENSEX 67200 CE 30 JUL 26,67200.0,,,,,,
False,NSE_FO,MIDCPNIFTY,NSE,1793125799000.0,CE,MIDCPNIFTY,MIDCPNIFTY,NSE_FO|50900,120,2760.0,50900,120.0,NSE_INDEX|NIFTY MID SELECT,NSE_INDEX|NIFTY MID SELECT,5.0,INDEX,INDEX,MIDCPNIFTY 15200 CE 27 OCT 26,15200.0,1.0,,,,,
False,NSE_FO,MIDCPNIFTY,NSE,1793125799000.0,PE,MIDCPNIFTY,MIDCPNIFTY,NSE_FO|50901,120,2760.0,50901,120.0,NSE_INDEX|NIFTY MID SELECT,NSE_INDEX|NIFTY MID SELECT,5.0,INDEX,INDEX,MIDCPNIFTY 15200 PE 27 OCT 26,15200.0,1.0,,,,,
False,NSE_FO,MIDCPNIFTY,NSE,1793125799000.0,CE,MIDCPNIFTY,MIDCPNIFTY,NSE_FO|50902,120,2760.0,50902,120.0,NSE_INDEX|NIFTY MID SELECT,NSE_INDEX|NIFTY MID SELECT,5.0,INDEX,INDEX,MIDCPNIFTY 15225 CE 27 OCT 26,15225.0,1.0,,,,,
False,BSE_FO,SENSEX50,BSE,1785436199000.0,PE,SENSEX50,SENSEX50,BSE_FO|1149603,75,1800.0,1149603,75.0,BSE_INDEX|SENSEX50,BSE_INDEX|SENSEX50,5.0,INDEX,INDEX,SENSEX50 24550 PE 30 JUL 26,24550.0,,,,,,
,NSE_EQ,ENVIRO INFRA ENGINEERS L,NSE,,EQ,,,NSE_EQ|INE0LLY01014,1,100000.0,27213,,,,1.0,,,EIEL,,1.0,INE0LLY01014,True,38.06,NORMAL,
,NSE_EQ,MARUTI SUZUKI INDIA LTD.,NSE,,EQ,,,NSE_EQ|INE585B01010,1,100000.0,10999,,,,100.0,,,MARUTI,,1.0,INE585B01010,True,23.59,NORMAL,Maruti Suzuki
