Symbol,Lot_Size,Near_Price,Next_Price,Margin,Charges_f,Charges_r,Charges,Cost_of_Carry
ADANIENT,309,3090.8,3109.3,81585.32150000002,540.86,538.12,1078.98,482.81
ADANIPOWER,3550,217.07,218.3,27643.25833333333,436.26,434.17,870.43,163.59
ABB,125,6805.5,6751.0,29072.70833333333,475.54,478.81,954.35,172.05
360ONE,500,1101.8,1112.1,19482.25,312.95000000000005,310.46999999999997,623.42,115.29
ALKEM,125,5667.0,5678.0,24657.916666666657,399.66999999999996,399.01,798.68,145.92
ADANIGREEN,600,1498.4,1507.4,32067.800000000003,509.14,506.55,1015.69,189.77
ADANIENSOL,675,1630.9,1640.9,94580.21250000002,623.52,620.2800000000001,1243.8,559.71
ADANIPORTS,475,1807.2,1818.1,30272.30416666667,486.15,483.65999999999997,969.81,179.15
AMBER,100,7627.0,7632.5,26852.58333333333,429.83000000000004,429.57,859.4,158.91
ABCAPITAL,3100,398.8,399.95,43511.85833333334,698.11,696.4000000000001,1394.51,257.49
ANGELONE,2500,340.1,341.7,30991.249999999964,480.94,479.02,959.96,183.4
AMBUJACEM,1200,431.0,433.4,44491.600000000006,292.77,291.39,584.16,263.29
AUROPHARMA,550,1588.9,1598.4,74666.90000000002,494.90000000000003,492.39,987.29,441.86
APOLLOHOSP,125,8883.0,8928.5,38431.97916666667,628.3199999999999,625.5899999999999,1253.91,227.43
ASHOKLEY,5000,155.71,156.6,29884.999999999993,440.8,438.67,879.47,176.85
ASIANPAINT,250,2685.1,2697.6,23343.0,379.68,378.18,757.86,138.14
AUBANK,1000,1049.7,1055.6,37175.333333333336,594.26,591.43,1185.69,220.0
ASTRAL,425,1311.3,1291.9,19193.920833333334,309.58,313.53,623.11,113.59
AXISBANK,625,1306.4,1314.0,28281.249999999993,462.33,460.05,922.38,167.36
APLAPOLLO,350,1794.0,1793.1,21797.82500000001,353.46,353.61,707.07,129.0
BANKBARODA,2925,245.35,246.95,26562.16874999999,406.59999999999997,404.36,810.96,157.19
BAJAJFINSV,300,1904.0,1912.8,19999.800000000003,323.06,321.8,644.86,118.35
BANKINDIA,5200,139.5,140.16,29979.04,410.33000000000004,408.68,819.01,177.41
BAJAJHLDNG,75,10610.0,10659.0,27757.124999999993,450.07000000000005,448.31,898.38,164.26
BAJFINANCE,750,1006.8,1012.0,26689.999999999993,427.3,425.43,852.73,157.95
BEL,1425,408.0,409.65,21502.18125,328.67,327.53999999999996,656.21,127.25
BHARATFORG,500,2145.0,2148.8,37439.666666666664,605.01,604.0999999999999,1209.11,221.56
BDL,425,1309.7,1291.0,19384.958333333336,309.34,313.15,622.49,114.72
BAJAJ-AUTO,75,10185.0,10172.5,26318.187499999993,429.72,430.17,859.89,155.75
BANDHANBNK,3600,200.14,200.81,63335.81999999998,407.03999999999996,405.88,812.92,374.81
BIOCON,2500,408.7,408.8,35223.333333333336,575.58,575.46,1151.04,208.44
BHEL,2625,383.0,383.8,86802.625,567.32,566.31,1133.63,513.68
BHARTIARTL,475,1919.0,1927.4,31761.50833333336,515.4399999999999,513.52,1028.96,187.96
BPCL,1975,310.0,310.4,21490.63333333333,345.23,344.85,690.08,127.18
BLUESTARCO,325,1609.0,1600.8,18578.95,293.11,294.39,587.5,109.95
CANBK,6750,125.63,126.2,35899.875,479.59999999999997,477.75,957.35,212.45
BOSCHLTD,25,42145.0,42075.0,36646.625,592.48,593.3199999999999,1185.8,216.87
CAMS,825,776.5,778.1,22924.962500000016,361.47999999999996,360.84999999999997,722.33,135.67
BSE,200,3818.0,3833.9,26873.766666666663,431.7,430.17999999999995,861.88,159.03
BRITANNIA,125,5374.0,5333.0,23253.541666666664,375.65,378.11,753.76,137.61
CDSL,475,1341.9,1340.7,22316.212500000016,358.68,358.95,717.63,132.06
CGPOWER,850,915.8,917.3,27686.058333333334,439.08,438.47,877.55,163.84
CIPLA,425,1446.4,1454.0,21672.166666666664,347.9,346.34999999999997,694.25,128.25
CHOLAFIN,625,1806.4,1807.3,39840.72916666667,636.13,635.86,1271.99,235.77
COFORGE,475,1474.0,1460.0,24027.083333333336,390.84000000000003,394.03999999999996,784.88,142.19
COLPAL,275,2068.1,2070.0,19692.75,320.58,320.33,640.91,116.54
COCHINSHIP,400,1415.8,1412.9,20057.533333333333,318.33,318.88,637.21,118.7
COALINDIA,1350,431.9,428.65,20656.237500000003,326.09,328.19,654.28,122.24
CONCOR,1250,460.7,461.0,49722.91666666666,324.53999999999996,324.36,648.9,294.25
CROMPTON,2150,257.7,258.3,19830.524999999998,312.71000000000004,312.1,624.81,117.35
DABUR,1250,439.0,441.55,19339.270833333336,310.71999999999997,309.19,619.91,114.45
DALBHARAT,325,1752.8,1767.0,19813.624999999985,323.23,321.02,644.25,117.25
DELHIVERY,2075,517.0,518.8,38393.03333333333,606.13,604.3299999999999,1210.46,227.2
DIVISLAB,100,6823.5,6854.5,23680.916666666664,385.91999999999996,384.43,770.35,140.14
DRREDDY,625,1252.0,1242.0,27124.999999999993,437.45,440.45,877.9,160.52
CUMMINSIND,200,5514.5,5533.0,38424.333333333336,623.07,621.29,1244.36,227.39
DLF,950,656.75,655.15,22043.245833333334,350.59999999999997,351.33,701.93,130.45
DIXON,50,13490.0,13525.0,23539.083333333336,380.79,379.95,760.74,139.3
EICHERMOT,100,7388.5,7334.0,25403.3333333333,413.27000000000004,415.89,829.16,150.33
DMART,150,4054.0,4043.4,20871.449999999983,341.65000000000003,342.41,684.06,123.51
FORCEMOT,25,18203.0,18250.0,16117.916666666664,256.90999999999997,256.35,513.26,95.38
FEDERALBNK,2500,329.85,330.3,30233.749999999993,465.01,464.47,929.48,178.92
GRASIM,250,3196.0,3203.0,27659.58333333333,450.90000000000003,450.06,900.96,163.68
GVT&D,125,4673.0,4675.0,21046.458333333336,329.09000000000003,328.97,658.06,124.55
HAVELLS,500,1191.9,1198.6,20916.833333333336,337.38,335.78000000000003,673.16,123.78
HAL,150,4408.0,4423.0,22989.25,373.56,372.48,746.04,136.05
HCLTECH,400,1137.8,1131.5,15636.333333333336,255.0,256.21,511.21,92.53
HDFCAMC,300,2750.8,2762.9,28987.15,466.65999999999997,464.92,931.58,171.54
ETERNAL,2425,292.95,294.6,26012.975000000006,402.17,400.25,802.42,153.94
FORTIS,775,956.6,961.1,26290.195833333346,419.34999999999997,417.67,837.02,155.58
GAIL,3550,171.43,171.93,21782.2675,343.68,342.83,686.51,128.9
GMRAIRPORT,6975,112.6,113.21,30834.963750000003,444.54,442.49,887.03,182.48
GODFRYPHLP,275,2098.0,2078.0,20427.916666666664,322.07,324.71,646.78,120.89
HDFCBANK,650,818.2,822.6,18965.05,301.01,299.63,600.64,112.23
GODREJCP,500,1092.3,1090.0,19243.333333333332,306.96999999999997,307.53000000000003,614.5,113.88
GLENMARK,375,2275.8,2287.0,72694.375,482.82,480.79999999999995,963.62,430.19
GODREJPROP,325,2031.6,2040.2,23345.50833333333,373.29999999999995,371.96,745.26,138.15
HDFCLIFE,1100,555.05,557.25,21880.375,345.12,343.96,689.08,129.48
HEROMOTOCO,150,4832.6,4847.1,25205.925000000017,409.40000000000003,408.36,817.76,149.16
HINDZINC,1225,528.55,531.8,22998.558333333334,366.73,364.82000000000005,731.55,136.1
HINDALCO,700,961.7,967.7,23848.883333333346,381.33,379.32,760.65,141.13
HYUNDAI,275,1909.2,1895.2,18031.933333333334,293.69,295.54,589.23,106.71
ICICIBANK,700,1389.5,1383.4,33683.76666666667,545.5500000000001,547.61,1093.16,199.33
ICICIPRULI,925,494.0,495.55,15837.310416666667,258.09000000000003,257.41,515.5,93.72
HINDPETRO,2025,393.55,395.9,28367.887499999997,451.3,449.01,900.31,167.88
HINDUNILVR,300,2152.0,2163.1,22429.849999999984,365.34000000000003,363.74,729.08,132.74
ICICIGI,325,1803.6,1804.7,20258.82083333333,330.3,330.14,660.44,119.89
IDEA,71475,14.13,14.22,135580.9275,572.15,569.06,1141.21,802.34
INDHOTEL,1000,734.2,738.9,26170.499999999993,415.94,413.69,829.63,154.87
INDUSINDBK,700,1018.0,1024.7,25133.38333333333,403.78,401.53,805.31,148.73
INDIGO,150,5228.0,5260.0,27470.499999999993,444.15000000000003,441.84999999999997,886.0,162.57
INDIANB,1000,795.3,797.9,28008.83333333333,449.26,448.01,897.27,165.75
IDFCFIRSTB,9275,79.74,80.02,27858.080833333333,417.87,416.62,834.49,164.86
IEX,4350,118.58,119.1,45564.07500000004,291.69,290.6,582.29,269.64
INDUSTOWER,1700,399.0,401.3,23786.11666666667,384.04999999999995,382.16,766.21,140.76
INFY,400,1054.3,1050.0,14832.0,236.60999999999999,237.44,474.05,87.77
INOXWIND,6400,82.72,82.96,25828.69333333332,298.96,298.21999999999997,597.18,152.85
IOC,4875,138.99,138.55,27916.281250000007,380.48,381.51,761.99,165.2
IREDA,4525,121.19,119.04,20402.32,303.78,308.44,612.22,120.74
JSWENERGY,1075,536.85,540.0,20210.0,326.78,325.15999999999997,651.94,119.6
IRFC,5425,87.97,87.85,16898.422916666666,268.42,268.74,537.16,100.0
JIOFIN,2350,234.2,235.03,21013.739166666666,310.97999999999996,310.05,621.03,124.36
JSWSTEEL,675,1233.0,1235.9,29219.962499999987,469.76,468.81,938.57,172.92
ITC,1725,282.5,284.3,18141.537500000002,276.07,274.58,550.65,107.36
JINDALSTEL,625,1036.6,1039.5,22473.4375,365.82,364.95,730.77,132.99
JUBLFOOD,1250,430.45,429.9,19244.375,302.67,303.0,605.67,113.88
KALYANKJIL,1350,441.45,440.8,42053.399999999994,335.18,335.6,670.78,248.86
KAYNES,150,3459.5,3416.1,35939.700000000026,288.86999999999995,291.99,580.86,212.68
KEI,175,4991.5,4961.0,30603.70833333333,489.17999999999995,491.74,980.92,181.11
LODHA,625,1132.0,1106.9,23871.145833333336,390.28000000000003,397.80999999999995,788.09,141.26
LICHSGFIN,1000,541.75,534.45,46367.75,301.29999999999995,304.8,606.1,274.4
KFINTECH,575,864.65,861.0,17827.875,278.91,279.91999999999996,558.83,105.5
LAURUSLABS,850,1518.0,1523.6,45105.533333333355,729.17,726.88,1456.05,266.93
KPITTECH,775,544.4,531.1,14582.529166666664,232.24,237.19,469.43,86.3
LICI,1400,436.9,435.05,21553.816666666666,343.13,344.36999999999995,687.5,127.55
KOTAKBANK,2000,377.4,378.8,27378.666666666657,426.54999999999995,425.2,851.75,162.02
LT,175,3906.0,3908.0,23688.583333333336,385.15000000000003,384.99,770.14,140.18
LTF,2250,319.0,318.4,24805.499999999993,403.52000000000004,404.17,807.69,146.79
LTM,150,3881.6,3855.0,19994.249999999985,325.82,327.74,653.56,118.32
MANKIND,250,2544.7,2542.3,22135.041666666664,357.96999999999997,358.26,716.23,130.99
MANAPPURAM,3000,333.75,333.6,86676.0,563.66,563.88,1127.54,512.93
M&M,200,3097.5,3115.3,21549.033333333333,350.75,349.04,699.79,127.52
MAZDOCK,225,2365.9,2357.0,18505.875,298.75,299.71,598.46,109.51
MAXHEALTH,525,1096.0,1099.0,20323.625,324.89,324.13,649.02,120.27
LUPIN,425,2495.8,2498.7,36945.8875,598.01,597.43,1195.44,218.64
MARICO,1200,860.9,862.95,36813.3,583.1,581.9200000000001,1165.02,217.85
MARUTI,50,13747.0,13690.0,23674.333333333336,385.63,387.0,772.63,140.1
MCX,225,2797.1,2790.0,21953.25,353.62,354.38,708.0,129.92
MOTHERSON,6150,143.0,143.51,35757.8425,496.93,495.43,992.36,211.61
MOTILALOFS,775,947.6,953.15,26520.564583333333,415.85,413.78,829.63,156.94
MPHASIS,275,2271.2,2283.5,21870.979166666664,353.52000000000004,351.9,705.42,129.43
MFSL,400,1586.9,1591.3,22286.066666666666,358.42,357.57,715.99,131.88
MUTHOOTFIN,275,3064.0,3066.5,29363.354166666657,474.90000000000003,474.58,949.48,173.77
NAM-INDIA,625,1221.9,1214.0,27177.0833333333,427.53999999999996,429.90999999999997,857.45,160.83
NATIONALUM,1875,349.65,351.1,23430.3125,370.65,369.34999999999997,740.0,138.66
NBCC,6500,97.93,98.28,59608.899999999994,359.68,358.59,718.27,352.75
NAUKRI,550,1198.25,1202.6,23149.683333333334,372.41,371.26,743.67,137.0
OFSS,100,11188.0,11197.0,38579.16666666667,630.56,630.12,1260.68,228.3
OIL,1400,420.35,420.0,21420.0,331.18,331.41999999999996,662.6,126.76
ONGC,2250,244.0,244.92,20311.65,310.27,309.27000000000004,619.54,120.2
PAGEIND,20,40300.0,40165.0,27709.633333333317,452.53,453.83000000000004,906.36,163.98
PATANJALI,1075,412.8,415.8,38625.82500000001,251.6,250.05,501.65,228.58
PAYTM,725,1269.9,1276.2,32856.274999999994,520.89,518.7,1039.59,194.44
PERSISTENT,125,4833.9,4790.0,20715.416666666664,337.44,340.08000000000004,677.52,122.59
PETRONET,1900,278.5,280.3,19950.316666666666,299.8,298.16,597.96,118.06
PFC,1300,406.6,404.45,18302.158333333336,296.22,297.57,593.79,108.31
PGEL,950,586.25,587.05,19654.470833333333,314.06,313.69,627.75,116.31
PIDILITIND,500,1582.3,1587.8,27827.166666666657,447.01,445.70000000000005,892.71,164.68
PHOENIXLTD,350,2097.6,2111.0,25696.416666666657,415.92,413.67,829.59,152.07
OBEROIRLTY,350,1869.9,1860.0,22470.0,366.78000000000003,368.44,735.22,132.97
POLYCAB,125,9114.0,9125.5,39439.27083333333,642.36,641.6700000000001,1284.03,233.39
POWERGRID,1900,282.0,282.3,19937.649999999998,302.08,301.8,603.88,117.99
PIIND,175,2590.8,2563.4,15556.858333333334,252.85000000000002,255.15,508.0,92.06
POLICYBZR,350,1580.0,1577.9,19232.09166666668,311.06,311.42,622.48,113.81
PNBHOUSING,650,1088.0,1083.0,25171.249999999993,396.59000000000003,398.15,794.74,148.96
POWERINDIA,25,32685.0,32750.0,28810.333333333387,461.04,460.26,921.3,170.49
PNB,8000,103.9,104.6,34482.66666666666,471.04,468.36,939.4,204.06
NESTLEIND,500,1460.0,1468.2,25584.499999999993,413.26,411.28999999999996,824.55,151.4
NHPC,6950,78.6,78.35,20669.879166666666,306.75,307.58,614.33,122.32
NTPC,1500,345.9,345.6,18423.0,291.97999999999996,292.2,584.18,109.02
NMDC,6750,84.49,84.6,49254.75,321.59000000000003,321.22,642.81,291.48
NYKAA,3125,326.5,327.5,37752.604166666664,576.26,574.7600000000001,1151.02,223.41
PREMIERENE,650,1092.4,1085.9,25199.74166666667,397.70000000000005,399.73,797.43,149.13
RBLBANK,3175,364.35,366.0,101314.24999999994,654.25,651.73,1305.98,599.56
RADICO,150,4093.6,4082.5,21500.875,344.96000000000004,345.76,690.72,127.24
PRESTIGE,450,1685.5,1694.7,26735.175000000003,429.33,427.34000000000003,856.67,158.21
RECLTD,1575,352.35,350.45,19527.768750000003,310.98999999999995,312.43,623.42,115.56
RELIANCE,500,1283.6,1291.9,22491.083333333336,363.62,361.62,725.24,133.1
RVNL,1925,227.89,226.11,15242.05375,245.28,246.93,492.21,90.2
SAIL,4700,167.3,168.4,68406.93333333335,445.53999999999996,443.06,888.6,404.82
SBIN,750,1024.9,1030.3,26812.625000000015,435.02,433.08,868.1,158.67
SBICARD,800,590.6,586.0,16205.333333333332,264.18,265.95,530.13,95.9
SBILIFE,375,1833.4,1841.0,23913.125,388.67999999999995,387.31,775.99,141.51
SHREECEM,25,26275.0,26205.0,22810.625,369.03,369.87,738.9,134.99
SIEMENS,175,3469.0,3441.3,20880.737500000003,339.36,341.69,681.05,123.57
SHRIRAMFIN,825,1034.7,1041.3,30655.762499999997,483.59,480.97,964.56,181.41
SOLARINDS,50,17404.0,17541.0,30479.249999999993,493.66,490.37,984.03,180.37
SONACOMS,1225,670.05,673.2,28731.149999999994,464.28999999999996,462.43,926.72,170.03
SRF,200,2771.8,2777.9,19321.76666666667,312.85,312.26,625.11,114.34
SUNPHARMA,350,1942.9,1952.0,23853.66666666667,384.63,383.1,767.73,141.16
SWIGGY,1825,282.54,283.0,19329.791666666668,290.84,290.44,581.28,114.39
SUPREMEIND,175,3232.9,3245.0,19862.208333333365,319.73,318.71,638.44,117.54
SUZLON,12700,53.95,54.19,34191.15166666667,387.47,386.0,773.47,202.34
TATAPOWER,1450,376.7,378.8,19849.533333333333,309.21000000000004,307.76000000000005,616.97,117.47
TATAELXSI,125,3604.0,3572.2,15486.958333333328,251.63,253.54,505.17,91.65
TATACONSUM,550,1110.2,1116.6,21349.350000000006,345.71999999999997,344.03000000000003,689.75,126.34
TATASTEEL,2750,188.49,189.5,20214.791666666668,293.39,292.05,585.44,119.63
TCS,225,2053.0,2046.5,15825.562500000011,259.39,260.09000000000003,519.48,93.65
TECHM,600,1429.9,1420.3,29796.100000000006,480.18,482.94,963.12,176.33
TIINDIA,200,2920.8,2937.6,20628.4,330.74,329.13,659.87,122.07
TORNTPHARM,125,4875.5,4850.0,20882.916666666664,341.57000000000005,343.1,684.67,123.58
UNITDSPR,400,1387.1,1395.3,19303.4,314.19,312.60999999999996,626.8,114.23
UNOMINDA,550,1157.0,1166.2,22382.61666666667,361.04,358.61,719.65,132.46
UPL,1355,580.9,582.0,27520.049999999974,444.07,443.35,887.42,162.86
VBL,1275,481.5,483.1,21721.11249999999,346.80999999999995,345.83,692.64,128.54
VEDL,1150,272.4,273.05,12207.920833333319,176.82,176.45999999999998,353.28,72.24
VMM,4850,117.02,117.88,21656.543333333335,321.81,319.79999999999995,641.61,128.16
VOLTAS,375,1280.0,1270.0,16843.75,268.38,270.18,538.56,99.68
WAAREEENER,175,2871.3,2862.0,17599.75,282.16,282.94,565.1,104.15
WIPRO,3000,171.91,169.79,24275.299999999996,287.14,290.2,577.34,143.66
YESBANK,31100,23.78,23.9,40393.71666666668,418.46,416.67,835.13,239.04
ZYDUSLIFE,900,1162.0,1167.7,36407.85,591.67,589.2,1180.87,215.45
TITAN,175,4559.0,4586.9,27781.92083333333,451.87,449.52,901.39,164.41
TMPV,1600,333.65,334.55,19508.933333333334,301.40999999999997,300.71999999999997,602.13,115.45
UNIONBANK,4425,158.6,159.52,26598.97,397.38,395.42,792.8,157.41
ULTRACEMCO,50,11553.0,11612.0,20083.666666666664,326.84999999999997,325.44,652.29,118.85
TRENT,225,2906.9,2896.9,22679.362500000003,367.18,368.27,735.45,134.21
TVSMOTOR,175,3635.1,3660.0,22125.250000000015,360.53999999999996,358.45,718.99,130.93
